,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
383,0,4,477,21500649,Valanciunas REBOUND (Off:2 Def:8),,3:03,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:17 PM
384,5,2,478,21500649,MISS Valanciunas 2' Layup,,3:00,4,4,0,5,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,1626196,Josh Richardson,MIA,Miami,1610612748,Heat,,,Richardson BLOCK (1 BLK),10:17 PM
385,0,4,479,21500649,,,2:58,4,5,0,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Wade REBOUND (Off:1 Def:2),10:17 PM
386,2,6,480,21500649,DeRozan S.FOUL (P2.T4) (M.Kogut),,2:53,4,4,5,1,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,,,,10:17 PM
387,4,9,481,21500649,,,2:53,4,1,0,0,0,,,,,,0,,,,,,0,,,,,,,,,10:17 PM
388,0,18,482,21500649,,,2:53,4,,0,1,480,,,,,,0,,,,,,0,,,,,,,,,10:18 PM
389,0,8,486,21500649,SUB: Joseph FOR Johnson,,2:53,4,4,4,0,201949,James Johnson,TOR,Toronto,1610612761,Raptors,202709,Cory Joseph,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,10:20 PM
390,13,3,487,21500649,,,2:53,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,80 - 91,11,Bosh Free Throw 1 of 3 (25 PTS),10:20 PM
391,14,3,489,21500649,,,2:53,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Bosh Free Throw 2 of 3,10:21 PM
392,1,4,490,21500649,,,2:53,4,3,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,Heat Rebound,10:21 PM
393,15,3,491,21500649,,,2:53,4,5,0,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,81 - 91,10,Bosh Free Throw 3 of 3 (26 PTS),10:21 PM
394,101,2,493,21500649,MISS DeRozan 3' Driving Floating Jump Shot,,2:34,4,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:21 PM
395,0,4,494,21500649,Valanciunas REBOUND (Off:3 Def:8),,2:34,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:21 PM
396,97,1,495,21500649,Valanciunas  Tip Layup Shot (9 PTS),,2:32,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,81 - 93,12,,10:21 PM
397,2,5,496,21500649,Lowry STEAL (2 STL),,2:23,4,5,4,0,1626196,Josh Richardson,MIA,Miami,1610612748,Heat,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Richardson Lost Ball Turnover (P1.T13),10:22 PM
398,40,1,497,21500649,Lowry 4' Layup (14 PTS),,2:22,4,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,81 - 95,14,,10:22 PM
399,2,6,498,21500649,,,2:22,4,5,4,1,1626196,Josh Richardson,MIA,Miami,1610612748,Heat,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Richardson S.FOUL (P5.PN) (M.Kogut),10:22 PM
400,10,3,499,21500649,Lowry Free Throw 1 of 1 (15 PTS),,2:22,4,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,81 - 96,15,,10:22 PM
401,1,6,501,21500649,DeRozan P.FOUL (P3.PN) (M.Callahan),,2:14,4,4,5,1,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,1626196,Josh Richardson,MIA,Miami,1610612748,Heat,0,,,,,,,,,10:22 PM
402,1,2,502,21500649,,,2:01,4,5,0,0,1626196,Josh Richardson,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Richardson 25' 3PT Jump Shot,10:23 PM
403,0,4,503,21500649,Valanciunas REBOUND (Off:3 Def:9),,2:01,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:23 PM
404,1,1,505,21500649,DeRozan 26' 3PT Jump Shot (33 PTS) (Lowry 6 AST),,1:36,4,4,4,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,81 - 99,18,,10:23 PM
405,1,9,506,21500649,,,1:36,4,3,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,Heat Timeout: Regular (Reg.5 Short 1),10:23 PM
406,0,8,508,21500649,SUB: Ross FOR DeRozan,,1:36,4,4,4,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,203082,Terrence Ross,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,10:25 PM
407,0,8,509,21500649,SUB: Wright FOR Lowry,,1:36,4,4,4,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,1626153,Delon Wright,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,10:25 PM
408,0,8,510,21500649,SUB: Bennett FOR Patterson,,1:36,4,4,4,0,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,203461,Anthony Bennett,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,10:25 PM
409,0,8,511,21500649,,,1:36,4,5,5,0,2547,Chris Bosh,MIA,Miami,1610612748,Heat,203950,Jarnell Stokes,MIA,Miami,1610612748,Heat,0,,,,,,,,SUB: Stokes FOR Bosh,10:25 PM
